,Total Nonfarm,Total Private,Construction,Manufacturing,Durable Goods Manufacturing,Nondurable Goods Manufacturing,"Trade, Transportation, and Utilities",Retail Trade,Professional and Business Services,Private Education and Health Services,Health Care and Social Assistance,Leisure and Hospitality,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Government,State and Local
2024-04-01,7619.0,6764.0,326.0,491.0,324.0,166.0,988.0,501.0,1289.0,1769.0,1541.0,1042.0,144.0,898.0,855.0,719.0
2024-05-01,7901.0,6852.0,375.0,576.0,405.0,171.0,985.0,487.0,1302.0,1859.0,1674.0,871.0,139.0,732.0,1049.0,879.0
2024-06-01,7412.0,6455.0,285.0,452.0,294.0,158.0,1071.0,514.0,1131.0,1784.0,1609.0,906.0,129.0,777.0,957.0,849.0
2024-07-01,7504.0,6585.0,229.0,499.0,337.0,162.0,965.0,513.0,1367.0,1694.0,1519.0,947.0,134.0,813.0,919.0,776.0
2024-08-01,7649.0,6638.0,304.0,467.0,298.0,169.0,1097.0,559.0,1332.0,1646.0,1499.0,971.0,127.0,844.0,1011.0,863.0
2024-09-01,7103.0,6241.0,251.0,469.0,317.0,153.0,923.0,475.0,1308.0,1473.0,1304.0,965.0,134.0,831.0,862.0,722.0
2024-10-01,7615.0,6715.0,249.0,455.0,311.0,144.0,927.0,467.0,1358.0,1606.0,1459.0,1166.0,98.0,1068.0,900.0,758.0
2024-11-01,8031.0,7162.0,277.0,443.0,286.0,157.0,1007.0,549.0,1733.0,1690.0,1520.0,1021.0,126.0,896.0,869.0,749.0
2024-12-01,7508.0,6634.0,205.0,431.0,291.0,140.0,1079.0,519.0,1364.0,1585.0,1421.0,1147.0,184.0,963.0,874.0,736.0
2025-01-01,7762.0,6860.0,242.0,513.0,369.0,144.0,1234.0,656.0,1211.0,1650.0,1498.0,1057.0,156.0,901.0,902.0,770.0
2025-02-01,7480.0,6588.0,286.0,445.0,313.0,131.0,1036.0,528.0,1336.0,1570.0,1405.0,1030.0,130.0,900.0,892.0,759.0
2025-03-01,7200.0,6342.0,251.0,397.0,261.0,136.0,1036.0,538.0,1249.0,1512.0,1368.0,960.0,135.0,825.0,858.0,737.0
2025-04-01,7395.0,6562.0,242.0,392.0,257.0,135.0,1036.0,561.0,1386.0,1716.0,1547.0,914.0,188.0,727.0,833.0,705.0
2025-05-01,7712.0,6876.0,232.0,425.0,296.0,129.0,951.0,466.0,1302.0,1771.0,1615.0,1199.0,137.0,1062.0,836.0,742.0
2025-06-01,7357.0,6536.0,242.0,396.0,243.0,153.0,1102.0,629.0,1365.0,1570.0,1435.0,1034.0,170.0,864.0,821.0,704.0
2025-07-01,7208.0,6401.0,303.0,438.0,262.0,176.0,1096.0,548.0,1274.0,1429.0,1297.0,995.0,115.0,880.0,807.0,668.0
2025-08-01,7227.0,6457.0,188.0,409.0,259.0,150.0,1149.0,603.0,1235.0,1523.0,1378.0,1092.0,106.0,986.0,770.0,693.0
2025-09-01,7658.0,6871.0,231.0,385.0,256.0,129.0,1124.0,620.0,1502.0,1512.0,1375.0,1181.0,162.0,1019.0,787.0,673.0
2025-10-01,7449.0,6665.0,202.0,414.0,274.0,140.0,1310.0,651.0,1300.0,1531.0,1401.0,1155.0,170.0,985.0,784.0,698.0
2025-11-01,6928.0,6227.0,284.0,399.0,271.0,128.0,1196.0,726.0,1273.0,1464.0,1341.0,884.0,160.0,724.0,701.0,598.0
2025-12-01,6542.0,5804.0,292.0,433.0,294.0,139.0,1024.0,531.0,1016.0,1388.0,1249.0,950.0,142.0,809.0,738.0,641.0
