h,outcome,r2_delta_only,r2_ld_only,r2_joint,nobs,partial_f_ld,partial_r2_ld,partial_f_delta,partial_r2_delta
0,vacancy,0.38345973909932907,0.38248404016548765,0.3837375192752086,2850,1.2350543895107462,0.00045054669337205017,5.573165441770913,0.0020298732198871026
1,vacancy,0.5757683765944692,0.5719577295596234,0.5757994479249757,2800,0.19710712299642713,7.324142942734617e-05,24.37069935574869,0.008975091084812438
2,vacancy,0.6858905560751782,0.6821968123553761,0.6859463076498993,2750,0.46901426093977877,0.00017749092171321268,31.542907500947432,0.011798167671986859
3,vacancy,0.7545544801526941,0.7504025820986215,0.7545626241861547,2700,0.08604019128439833,3.318061566443487e-05,43.95006708821334,0.01666700770589263
4,vacancy,0.8024890925594432,0.7990791118772314,0.8024971133038946,2650,0.10331380075332657,4.0609121568644674e-05,44.02667614074326,0.01701167787280914
5,vacancy,0.8350618513163197,0.8322176678226407,0.8350621040329885,2600,0.003822821220033395,1.5321905261494743e-06,43.027518346888435,0.016953133106655145
6,vacancy,0.8593519048977851,0.8581591424009447,0.859451778267387,2550,1.7381241757068089,0.0007100940082355152,22.49610340380455,0.009113282930762872
7,vacancy,0.8786656431521417,0.878234732105483,0.8788407543407629,2500,3.4643787755631363,0.0014432119077435585,11.98947129508876,0.004976971231278625
8,vacancy,0.8931788139006607,0.8928811924083989,0.8932818615909379,2450,2.2672432294830034,0.0009646746496656282,8.815476493747525,0.0037404186206645147
9,vacancy,0.9043686550879754,0.9045446629723687,0.9045998843444812,2400,5.572278996249273,0.0024179232940683753,1.3307524169592015,0.0005785048152579706
10,vacancy,0.9132202574508455,0.913209717100301,0.9132716869385444,2350,1.334239572268835,0.000592643930348755,1.6076887826586157,0.0007140181616309098
11,vacancy,0.919769696262348,0.9197249785883468,0.9197960342970789,2300,0.7227823952939596,0.00032828038165078695,1.949948653395443,0.0008851534074060079
12,vacancy,0.9246415457672377,0.9244043422485736,0.924646176136531,2250,0.13223688206303694,6.14445896013422e-05,6.906438189882246,0.0031990446958289186
13,vacancy,0.9284733158735663,0.9283562514858572,0.928473357593443,2200,0.001226632450138802,5.832770968484011e-07,3.4431106503366213,0.001634561423913132
14,vacancy,0.9308447229821691,0.9304723136879537,0.9308722124484647,2150,0.816796917290006,0.0003975035236792857,11.882226861048439,0.005751647749592474
15,vacancy,0.932286722405063,0.9319336249597263,0.9323172946839092,2100,0.9056585253250486,0.0004514960718495896,11.365647891793932,0.0056366998236045416
16,vacancy,0.9333842638774593,0.9330905442202277,0.9333895418947694,2050,0.15498770241509022,7.923078865909785e-05,8.779994433900729,0.004468690875708174
17,vacancy,0.9348053514063404,0.9345378287612747,0.934821745884028,2000,0.4796733108976084,0.0002514696841120294,8.306910954184673,0.004337117412710772
18,vacancy,0.9374271281998853,0.937161873043608,0.9374274928582527,1950,0.010828002225926246,5.827739032914438e-06,7.887195801373692,0.004227048569239068
19,vacancy,0.9405076391785341,0.9403159954846778,0.9405077755425715,1900,0.004146466969385802,2.292126846411025e-06,5.831520470005214,0.0032132572110577877
20,vacancy,0.9428284820828778,0.9429235956358791,0.9429316105338265,1850,3.1805010684094337,0.001803843149627727,0.24718097915938128,0.00014042401648493695
