h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,nobs,r2,n_clusters,qt_range,outcome,delta_h,delta_h_se,delta_h_t,delta_h_p,instr_sd
0,0.5257533829553281,0.12117381738377961,4.338836510284818,1.4323902786519659e-05,18.825502262980535,0.32642245335901066,0.7250843125516456,0.2882527008831201,0.7632540650275361,4400,0.8486965432270014,50,2001Q2-2023Q1,unemp,0.3549646953792775,0.07131867429184088,4.977163399402767,6.452285113770113e-07,2.0691030628250546
1,2.1611368844829286,0.6333084669742257,3.412455378669179,0.0006438046602637355,11.644851711408212,1.1193444563103274,3.20292931265553,0.9198522892134464,3.402421479752411,4350,0.8601404338124659,50,2001Q2-2022Q4,unemp,0.642864047028753,0.1263238814285816,5.089014363386247,3.599293538374102e-07,2.0691030628250546
2,1.634860506308916,0.4460954967581239,3.664821811001937,0.00024751084604596413,13.430918906395517,0.9010334141418024,2.36868759847603,0.7605133326629935,2.509207679954839,4300,0.854521561789821,50,2001Q2-2022Q3,unemp,0.7076507881375583,0.12889565191262273,5.490105970504489,4.0169266367520687e-08,2.0691030628250546
3,1.5332292915626646,0.4204476142408401,3.6466595115090907,0.00026567158310499727,13.298125592879721,0.8415929661364826,2.2248656169888466,0.709151967650618,2.357306615474711,4250,0.8616543477910582,50,2001Q2-2022Q2,unemp,0.8234019579716726,0.15833231691482655,5.200466803088685,1.9878862375658354e-07,2.0691030628250546
4,1.5283853184725316,0.43746634081161456,3.493720946934973,0.0004763386377106821,12.206086055052204,0.8087531878374256,2.2480174491076377,0.670951290481767,2.385819346463296,4200,0.8711792572057534,50,2001Q2-2022Q1,unemp,0.9123849828986965,0.190827409349691,4.781205100503944,1.7424747284913239e-06,2.0691030628250546
5,1.419775417771592,0.451392734952898,3.145321818083189,0.0016590422106242373,9.893049339310137,0.6772343687740748,2.1623164667691097,0.5350456572639121,2.304505178279272,4150,0.8795664386855208,50,2001Q2-2021Q4,unemp,0.9975887046045183,0.21899151179052187,4.555376125987797,5.229192461010454e-06,2.0691030628250546
6,1.3767541443999962,0.4692864914329003,2.9337178238313895,0.0033492854867378475,8.606700269865984,0.6047778659928752,2.148730422807117,0.4569526211915116,2.296555667608481,4100,0.8865329671798888,50,2001Q2-2021Q3,unemp,1.0883465087400195,0.236777653729707,4.59649165196315,4.296641801535166e-06,2.0691030628250546
7,1.4201290313806594,0.47608732268155085,2.982917132474386,0.0028551528716362806,8.897794619209215,0.6369653855695082,2.203292677191811,0.48699787892481977,2.353260183836499,4050,0.8912637954544488,50,2001Q2-2021Q2,unemp,1.1327966975497117,0.24410641654691007,4.640585501905565,3.474233860127817e-06,2.0691030628250546
8,1.5272660515407097,0.5200012655547938,2.9370429510613913,0.0033135820709812103,8.626221296379406,0.6718639697030739,2.3826681333783455,0.508063571053314,2.546468532028106,4000,0.894818083138682,50,2001Q2-2021Q1,unemp,1.175899905850163,0.24315154565183233,4.836078268381353,1.3242579624610844e-06,2.0691030628250546
9,1.6305468597696637,0.5469668218457888,2.981070870564391,0.0028724230969821214,8.886783535327536,0.7307864378333411,2.5303072817059866,0.5584918889519178,2.70260183058741,3950,0.8974323023409758,50,2001Q2-2020Q4,unemp,1.183093145008366,0.23603086097904502,5.012451084154634,5.374103967501059e-07,2.0691030628250546
10,1.6703876238179853,0.580726545178155,2.8763755293905926,0.004022708138595647,8.273536186077012,0.7150924569999204,2.6256827906360503,0.5321635952688015,2.8086116523671696,3900,0.8973661690666115,50,2001Q2-2020Q3,unemp,1.1366647331509958,0.22385241239308037,5.077741718302482,3.8194742590369255e-07,2.0691030628250546
11,1.7671765643565673,0.6082639157533016,2.905279301613701,0.0036692551346593234,8.440647820384994,0.766582422942386,2.7677707057707486,0.5749792894800959,2.9593738392330384,3850,0.8851205894364423,50,2001Q2-2020Q2,unemp,1.0644001143052737,0.209981071573148,5.069028871654673,3.998505789075965e-07,2.0691030628250546
12,1.8164863098332586,0.6358848911149365,2.856627567684932,0.00428167909205188,8.16032106045753,0.7704556639491883,2.862516955717329,0.5701519232479832,3.062820696418534,3800,0.8894147287662034,50,2001Q2-2020Q1,unemp,1.0167101699219148,0.20509931014632307,4.957160359030793,7.153093591979292e-07,2.0691030628250546
13,4.2346869803679645,0.6761252932691875,6.263169005100358,3.7723138457608164e-10,39.22728598644981,3.122460872940151,5.346913087795778,2.909481405560357,5.559892555175572,3750,0.8978020004176406,50,2001Q2-2019Q4,unemp,1.1244488226890839,0.21774768008097334,5.1639990941393155,2.41728865712192e-07,2.0691030628250546
14,4.39056921978731,0.7017115894779336,6.2569427178106745,3.9259752919983405e-10,39.14933217396403,3.2362536550961094,5.54488478447851,3.0152145044105607,5.76592393516406,3700,0.9020228179085087,50,2001Q2-2019Q3,unemp,1.030306859934289,0.21494724476810437,4.79330107741476,1.640591263377754e-06,2.0691030628250546
15,4.464097620403151,0.7510053781392277,5.944161986514507,2.778747144447618e-09,35.33306172192409,3.228693773364121,5.699501467442181,2.992127079250264,5.936068161556038,3650,0.9061833637461244,50,2001Q2-2019Q2,unemp,0.9068149811270594,0.20423034723554936,4.4401578580346,8.989291472347072e-06,2.0691030628250546
16,4.562966195990742,0.7863837587117702,5.802467491782451,6.534606594794094e-09,33.66862899319213,3.26936491290988,5.856567479071604,3.021654028915673,6.104278363065812,3600,0.9103696794315391,50,2001Q2-2019Q1,unemp,0.7568391368548109,0.18756831884754716,4.035005173074878,5.460109459013443e-05,2.0691030628250546
17,4.474080133257719,0.8161153775058145,5.482166194357542,4.201492492992814e-08,30.054146182556654,3.1315703372606545,5.816589929254785,2.874493993346323,6.073666273169116,3550,0.9139824241109163,50,2001Q2-2018Q4,unemp,0.6185325208873634,0.17335837872206583,3.567941310059298,0.00035979706623773586,2.0691030628250546
18,4.474794904545349,0.8371801589687172,5.345079976641632,9.037713959429981e-08,28.569879956695306,3.0976335430418094,5.851956266048888,2.8339217929666636,6.115668016124034,3500,0.9177649201778535,50,2001Q2-2018Q3,unemp,0.4668547380088338,0.1536833833738948,3.0377697820006175,0.002383359594502049,2.0691030628250546
19,4.223217569880583,0.8912645730348266,4.738455558151707,2.153532451539507e-06,22.452961076578806,2.757087347238293,5.689347792522872,2.4763390067323225,5.970096133028844,3450,0.9210650856116669,50,2001Q2-2018Q2,unemp,0.3165066730223156,0.13396794792867275,2.3625552075398675,0.01814943796006412,2.0691030628250546
20,3.9819145338551354,0.9207819290352633,4.32449248654036,1.5288341426183942e-05,18.701235266144028,2.4672282605921274,5.496600807118144,2.177181952946019,5.786647114764252,3400,0.9233204146369092,50,2001Q2-2018Q1,unemp,0.1726931236518246,0.1127912256205617,1.5310865069662196,0.125748014126567,2.0691030628250546
