series,mean,units,sd_cycle,rho_Q,sigma_Q,rho_m,sigma_m,source,rho_se,r2,nobs,rho_Q_uni,sigma_Q_rf,hp_lambda,sample_start,sample_end
z,1.0,index (normalized),0.008938959991500794,0.7348502623460784,0.00582097580046648,0.9024011037838142,0.009162181590460198,VAR(1),0.06525751307358184,0.5690232379065765,109,0.7390322855154118,0.00582097580046648,1600,1992Q3,2019Q4
delta,0.0022171783802491306,fraction/month,0.059575618743293396,0.2069182552475922,0.05516550913319392,0.5914702918293638,0.06693518154314786,"VAR(1), sigma perp z",0.0860187228137945,0.089220542452496,109,0.25844390555134306,0.0575298594587132,1600,1992Q3,2019Q4
tau,0.023499758008991407,fraction/month,0.06843645241642331,0.6977195452646516,0.05009535726272978,0.8869387504600561,0.07769618481883031,AR(1),0.12610982745627278,0.4676705035035259,109,0.6977195452646516,0.05009535726272978,1600,1992Q3,2019Q4
s,0.02133187926073838,fraction/month,0.07334329029583475,0.6677978444605079,0.05574840697555172,0.8740742729604922,0.08541905374898699,AR(1),0.13441392475479905,0.4264920283316017,109,0.6677978444605079,0.05574840697555172,1600,1992Q3,2019Q4
