label,rho,se,ci95_lo,ci95_hi,mu,uncond_mean,half_life,r2,nobs,spec
δ  (raw),0.6169861618630318,0.22436016312445053,0.1772483225735772,1.0567240011524863,4.160644763150761e-06,1.086290976688651e-05,1.4353587010298943,0.3810644206449587,117.0,raw
LD (raw),0.4893000177219208,0.35392697363705045,-0.20438410376395533,1.1829841392077969,2.5391161946982986e-05,4.971835290402917e-05,0.9697357498517819,0.23931355194837445,88.0,raw
δ  (residualized),0.4790105636472656,0.16524329785022399,0.15513965117420164,0.8028814761203296,-0.0009122162339833691,-0.001750930384250163,0.941734311681482,0.22975122644438595,65.0,residualized
LD (residualized),0.28784798699788483,0.14064909029767275,0.012180835556124314,0.5635151384396453,-0.0013934655582278944,-0.0019566967905541195,0.5566004269750927,0.07815854277159895,65.0,residualized
innovation_corr_raw,0.39721092802707825,,,,,,,,,raw
innovation_corr_resid,0.44357537659169644,,,,,,,,,residualized
