h,beta,se,tstat,pval,partial_f,ci90_lo,ci90_hi,ci95_lo,ci95_hi,delta_h,delta_h_se,delta_h_t,delta_h_p,nobs,r2,n_clusters,qt_range,instr_sd
0,0.5619087478674899,0.15515553655335285,3.6215836079704973,0.00029280514278308737,13.115867829520605,0.30667789023722447,0.8171396054977553,0.2578038962229184,0.8660135995120615,,,,,3750,0.6532827844247489,50,2001Q2-2019Q4,1.4486471139908228
1,1.0559966065909836,0.28714233995930794,3.6776067463287827,0.00023543255979336755,13.524791380642975,0.5836474573579221,1.528345755824045,0.49319762027074004,1.618795592911227,,,,,3700,0.7176593635964987,50,2001Q2-2019Q3,1.4486471139908228
2,1.4140612948909184,0.39483691090357204,3.58138070641593,0.0003417831907446732,12.826287764288265,0.7645545764545424,2.063568013327294,0.6401809495199172,2.1879416402619194,,,,,3650,0.764119431549221,50,2001Q2-2019Q2,1.4486471139908228
3,1.680986975167339,0.47147490922904595,3.565379497959038,0.0003633300711984448,12.711930964466642,0.9054107494855583,2.456563200849119,0.7568961530784087,2.605077797256269,,,,,3600,0.7971452666873067,50,2001Q2-2019Q1,1.4486471139908228
4,1.802615037550587,0.5370018159505501,3.356813671774587,0.000788462285505733,11.268198027012785,0.9192470503119321,2.685983024789242,0.7500914782875089,2.8551385968136653,,,,,3550,0.8208569241232643,50,2001Q2-2018Q4,1.4486471139908228
5,1.9114507774492504,0.6075624474731482,3.1460976322663994,0.0016546476081838503,9.897930311752244,0.9120105513559215,2.910891003542579,0.7206283804018798,3.1022731744966205,,,,,3500,0.8384893262453972,50,2001Q2-2018Q3,1.4486471139908228
6,2.038998998778377,0.6712305802824974,3.037702778559693,0.002383889546826566,9.22763817086928,0.9348246942136691,3.1431733033430858,0.7233870614246825,3.3546109361320724,,,,,3450,0.8524044736620822,50,2001Q2-2018Q2,1.4486471139908228
7,2.2001532454517374,0.7238905108859938,3.0393453324300337,0.0023709290904762956,9.237620049764232,1.009353355044278,3.3909531358591973,0.7813278441151899,3.618978646788286,,,,,3400,0.8644997949010842,50,2001Q2-2018Q1,1.4486471139908228
8,2.324088733832143,0.7622710661868458,3.04890062987445,0.002296804397165955,9.295795050848819,1.0701528299547818,3.578024637709505,0.8300374441059253,3.818140023558361,,,,,3350,0.8750119581361432,50,2001Q2-2017Q4,1.4486471139908228
9,2.3885973274215373,0.8112443764399683,2.9443622622119863,0.0032362095798687475,8.669269131138085,1.0541003281777894,3.723094326665285,0.7985583495991995,3.9786363052438745,,,,,3300,0.8839377210154682,50,2001Q2-2017Q3,1.4486471139908228
10,2.5360265094291106,0.8179494719990597,3.1004684228612422,0.0019321481421110172,9.612904441159678,1.1904996279906572,3.881553390867564,0.9328455443109536,4.139207474547267,,,,,3250,0.8920030892433138,50,2001Q2-2017Q2,1.4486471139908228
11,2.5890353866103895,0.8224853298282008,3.1478195327218574,0.001644932138158131,9.908767810585253,1.2360470190429993,3.9420237541777796,0.976964140147116,4.201106633073663,,,,,3200,0.8993925714236616,50,2001Q2-2017Q1,1.4486471139908228
12,2.627773381600053,0.8178411838635928,3.2130607182021507,0.0013132852279278291,10.32375917885372,1.2824246341444425,3.973122129055663,1.0248046612274109,4.2307421019726945,,,,,3150,0.9062223204624982,50,2001Q2-2016Q4,1.4486471139908228
13,2.635548622640656,0.8225980984162946,3.203932306328863,0.0013556434689417389,10.265182223537789,1.2823747507458512,3.988722494535461,1.0232563497447185,4.247840895536593,,,,,3100,0.9126261133920921,50,2001Q2-2016Q3,1.4486471139908228
14,2.564253996233762,0.8238830851080756,3.1124003424556133,0.0018557265650238886,9.68703589171782,1.2089663212309776,3.919541671236546,0.9494431494219335,4.17906484304559,,,,,3050,0.9187104315746306,50,2001Q2-2016Q2,1.4486471139908228
15,2.5518532043185074,0.8208035960998314,3.108969327673529,0.0018774120725771179,9.665690280414793,1.2016312887342848,3.9020751199027304,0.943078155962838,4.160628252674177,,,,,3000,0.9246846574958045,50,2001Q2-2016Q1,1.4486471139908228
16,2.543996630921876,0.8176742405543125,3.1112593558007475,0.001862912425462497,9.679934779057682,1.1989225052100319,3.88907075663372,0.9413551194354235,4.146638142408328,,,,,2950,0.9303685931974989,50,2001Q2-2015Q4,1.4486471139908228
17,2.5310126836073,0.8222762650927922,3.078056355331721,0.0020835550873108074,9.474430926597998,1.178368227529657,3.883657139684943,0.9193512040254272,4.142674163189173,,,,,2900,0.9357145577518807,50,2001Q2-2015Q3,1.4486471139908228
18,2.3972678792738846,0.8204255669607619,2.9219809520984095,0.00347812811016211,8.537972684425927,1.0476678216234312,3.746867936924338,0.789233768030791,4.005301990516978,,,,,2850,0.9407295828456781,50,2001Q2-2015Q2,1.4486471139908228
19,2.2253454258921086,0.8202374917426225,2.713050120598958,0.006666702233679716,7.36064095688202,0.8760547519754948,3.574636099808723,0.6176799420765687,3.833010909707649,,,,,2800,0.9460450171092991,50,2001Q2-2015Q1,1.4486471139908228
20,2.051662964951945,0.8347281130863776,2.4578817135629873,0.013975919825751396,6.041182517867327,0.6785352189248536,3.424790710979036,0.41559586330264475,3.687730066601245,,,,,2750,0.949736318334443,50,2001Q2-2014Q4,1.4486471139908228
