quarter_label,s_nat,g_ld_nat,g_delta_nat
1948Q1,0.08983361271468115,,
1948Q2,0.08095857628047554,,
1948Q3,0.08629513391344878,,
1948Q4,0.09041945839216925,,
1949Q1,0.10299775950948897,,
1949Q2,0.11244684856182918,,
1949Q3,0.11899221043881658,,
1949Q4,0.11028042491769963,,
1950Q1,0.09418020136472183,,
1950Q2,0.08950466539768998,,
1950Q3,0.07845072396083208,,
1950Q4,0.08283587003357185,,
1951Q1,0.07505630865192525,,
1951Q2,0.07395899321704935,,
1951Q3,0.08071066388333747,,
1951Q4,0.07340434682087416,,
1952Q1,0.0756191390785157,,
1952Q2,0.07705270031804112,,
1952Q3,0.07438837844826551,,
1952Q4,0.0667018809662584,,
1953Q1,0.06937869547982123,,
1953Q2,0.06320020937735982,,
1953Q3,0.07430196558429725,,
1953Q4,0.09611276984881434,,
1954Q1,0.10251363569965333,,
1954Q2,0.09667574914555466,,
1954Q3,0.09395917137156873,,
1954Q4,0.08601946466275667,,
1955Q1,0.07454099179690488,,
1955Q2,0.0780943528865512,,
1955Q3,0.08316158456722811,,
1955Q4,0.07946761656007395,,
1956Q1,0.08122376979916612,,
1956Q2,0.08602143180946542,,
1956Q3,0.07956536073238518,,
1956Q4,0.08289979664215597,,
1957Q1,0.07516578775957461,,
1957Q2,0.08022139082083812,,
1957Q3,0.08150343899509693,,
1957Q4,0.09007389147660483,,
1958Q1,0.10401703125301609,,
1958Q2,0.09943181149859992,,
1958Q3,0.09257753261491886,,
1958Q4,0.08923912931419131,,
1959Q1,0.08398848225300626,,
1959Q2,0.08518076874449998,,
1959Q3,0.09074627718992267,,
1959Q4,0.09377478972807818,,
1960Q1,0.08924686792186898,,
1960Q2,0.09406602781407802,,
1960Q3,0.09271841677428616,,
1960Q4,0.10152078289271449,,
1961Q1,0.09936877150927637,,
1961Q2,0.09455201142673109,,
1961Q3,0.09603160842804104,,
1961Q4,0.09153668329499254,,
1962Q1,0.08704675602135359,,
1962Q2,0.08437379878634943,,
1962Q3,0.09138355789963093,,
1962Q4,0.09416961721949724,,
1963Q1,0.09346898218505673,,
1963Q2,0.09307726679472572,,
1963Q3,0.08984092767476004,,
1963Q4,0.09548593349621415,,
1964Q1,0.09220514736985508,,
1964Q2,0.08497233575740659,,
1964Q3,0.08965321999752329,,
1964Q4,0.08510711511643754,,
1965Q1,0.09017118371896427,,
1965Q2,0.08688046292798501,,
1965Q3,0.08277324324384805,,
1965Q4,0.07744563976402419,,
1966Q1,0.08030372033792665,,
1966Q2,0.0859993068269499,,
1966Q3,0.08193523005936443,,
1966Q4,0.07988157443622201,,
1967Q1,0.08116728268994178,,
1967Q2,0.08421622983647103,,
1967Q3,0.0840570770444522,,
1967Q4,0.07975710405823544,,
1968Q1,0.08139098732616101,,
1968Q2,0.0834462961669169,,
1968Q3,0.07916878062686605,,
1968Q4,0.07818712410402562,,
1969Q1,0.07683067273770328,,
1969Q2,0.0828701626880246,,
1969Q3,0.08375075020932121,,
1969Q4,0.07976008189795925,,
1970Q1,0.09604382501715569,,
1970Q2,0.09928126034629325,,
1970Q3,0.10578528141971288,,
1970Q4,0.10681208876950232,,
1971Q1,0.09907646922112001,,
1971Q2,0.10003307579580145,,
1971Q3,0.10364864294063592,,
