recession,cum_delta,pre_u,pre_v,u_peak,u_trough_ql,u_pp_trough,u_recovery_end_qtrs,u_recovery_trough_qtrs,v_trough,v_trough_ql,v_pp_trough,v_recovery_end_qtrs,v_recovery_trough_qtrs
2001,0.056116733259582,3.966666666666667,3.812431654045442,5.866666666666667,2002Q4,1.9000000000000004,17.0,13.0,2.324768815141969,2002Q4,-1.4876628389034727,21.0,17.0
2008-09,0.07817529585884267,4.525,3.0709378550554205,9.933333333333334,2009Q4,5.408333333333333,18.0,16.0,1.519209883318862,2009Q3,-1.5517279717365584,9.0,8.0
2020,0.029461156750945378,3.6750000000000003,4.361628514017993,13.0,2020Q2,9.325,2.0,2.0,3.4241888636695093,2020Q2,-0.9374396503484839,1.0,1.0
