h,orig_tstat,wcb_pval
0,2.8940860118828535,0.056056056056056056
2,1.8887724897765192,0.36536536536536535
4,1.7915727206407446,0.4934934934934935
8,1.5026224139421016,0.6356356356356356
12,0.9239369546967054,0.8298298298298298
16,0.7293456447017628,0.8798798798798799
