L,N,AIC,BIC
1,780,-8.622145882945865,-8.598252067973128
2,768,-8.71933212992269,-8.670959320202401
3,756,-8.716247539413253,-8.64278656518818
4,744,-8.729090826061878,-8.629907147893425
