Series ID,BDS0000000000000000110008RQ5,BDS0000000000000000120008RQ5,BDS0000000000000000110007RQ5,BDS0000000000000000120007RQ5,BDS0000000000000000110005RQ5,BDS0000000000000000120005RQ5,BDS0000000000000000110002RQ5,BDS0000000000000000120002RQ5
"Qtr4
2016",0.6,2.8,0.7,3.0,4.8,20.2,5.0,20.4
"Qtr1
2017",0.5,2.6,0.7,3.0,4.6,19.8,5.0,20.9
"Qtr2
2017",0.6,2.8,0.7,3.0,4.8,20.4,5.1,20.3
"Qtr3
2017",0.6,2.8,0.7,3.1,5.0,20.6,4.9,19.8
"Qtr4
2017",0.6,2.7,0.7,3.1,4.6,19.6,5.2,20.7
"Qtr1
2018",0.5,2.7,0.7,3.1,4.5,19.8,5.0,20.7
"Qtr2
2018",0.6,2.8,0.7,3.3,4.8,20.5,5.1,20.3
"Qtr3
2018",0.6,2.8,0.7,3.1,4.9,20.5,4.9,19.9
"Qtr4
2018",0.6,2.7,0.7,3.1,4.5,19.6,5.0,20.5
"Qtr1
2019",0.6,2.7,0.6,3.2,4.6,19.6,4.8,20.4
"Qtr2
2019",0.6,2.9,0.7,3.1,4.8,20.4,5.0,19.9
"Qtr3
2019",0.6,2.8,0.7,3.0,4.8,20.1,4.8,19.7
"Qtr4
2019",0.6,2.8,0.7,3.2,4.5,19.5,5.0,20.0
"Qtr1
2020",0.6,2.9,0.6,3.3,5.1,20.6,4.5,19.2
"Qtr2
2020",1.0,4.0,0.5,2.8,14.4,30.2,3.7,14.4
"Qtr3
2020",0.6,2.8,0.7,3.4,4.7,18.0,7.7,22.6
"Qtr4
2020",0.6,2.6,0.8,3.5,4.6,18.1,6.0,20.8
"Qtr1
2021",0.5,2.5,0.7,3.6,4.5,18.1,5.6,20.7
"Qtr2
2021",0.5,2.6,0.8,4.1,4.9,18.8,5.5,20.4
"Qtr3
2021",0.6,2.8,0.8,4.1,4.9,18.9,5.9,20.8
"Qtr4
2021",0.6,2.9,0.9,4.3,4.3,17.8,6.2,21.7
"Qtr1
2022",0.6,2.9,0.8,3.9,4.4,18.2,5.5,20.7
"Qtr2
2022",0.7,3.6,0.8,4.1,5.0,19.3,5.2,19.6
"Qtr3
2022",0.7,3.3,0.8,3.9,4.7,18.5,5.6,20.5
"Qtr4
2022",0.7,3.2,0.8,3.8,4.7,18.8,5.0,19.4
"Qtr1
2023",0.6,3.2,0.7,3.6,4.4,18.0,5.1,19.9
"Qtr2
2023",0.7,3.2,0.8,3.6,4.8,19.1,5.0,19.0
"Qtr3
2023",0.7,3.2,0.7,3.5,4.8,19.0,4.7,18.2
"Qtr4
2023",0.7,3.5,0.8,3.5,4.6,18.5,4.8,18.8
"Qtr1
2024",,,0.7,3.5,4.3,18.2,4.6,18.4
"Qtr2
2024",,,0.7,3.5,4.7,19.1,4.6,17.9
"Qtr3
2024",,,0.7,3.4,4.6,18.5,4.6,18.0
,,,,,,,,
